What's your idea of the perfect job?
"In 3 words or phrases, how would your friends describe you?"
"In 3 words or phrases, how would your teachers describe you?"
What do you like doing that makes you happy?
Is there anything in life that frustrates you?
Is there anything you've done you feel really proud of?
